Hotel,Treatment,Num_Towels_Reused,reuse_dummy_recode,days_stay_max,daterank,avg_num_towels_reused,avg_reuse_rate,unique_spell
La Grange,Treatment,0,0,14,3,0.6666667,0.3333333,1044617921
La Grange,Treatment,0,0,1,1,0,0,1042217950
La Grange,Control,4,1,7,1,3.2,1,1042617929
La Grange,Treatment,1,1,7,4,0.8333333,0.6666667,1043217943
La Grange,Control,3,1,7,2,1.166667,0.3333333,1040217947
La Grange,Control,2,1,4,3,2,0.6666667,1042417928
La Grange,Control,0,0,7,2,1.428571,0.5714286,1042017947
La Grange,Control,3,1,4,1,2.5,1,1042617942
La Grange,Control,2,1,48,13,1.52381,0.6190476,1041817907
La Grange,Treatment,3,1,2,1,3,1,1041617955
La Grange,Treatment,0,0,10,5,1,0.3333333,1041617930
La Grange,Control,4,1,18,2,2.166667,0.6666667,1044017922
La Grange,Treatment,0,0,2,1,0,0,1042217954
La Grange,Treatment,0,0,13,5,0,0,1044617942
La Grange,Control,3,1,1,1,3,1,1021817945
La Grange,Treatment,0,0,1,1,0,0,1043817937
La Grange,Control,0,0,2,2,0,0,1043417946
La Grange,Control,3,1,1,1,3,1,1021417943
La Grange,Treatment,0,0,14,3,0.5,0.3333333,1043217950
La Grange,Treatment,1,1,1,1,1,1,1043817951
La Grange,Treatment,0,0,14,6,0.5,0.3333333,1043217950
La Grange,Control,0,0,7,1,0.3333333,0.3333333,1044017954
La Grange,Control,0,0,7,5,1.166667,0.3333333,1040217947
La Grange,Control,4,1,48,14,1.52381,0.6190476,1041817907
La Grange,Treatment,0,0,7,1,0,0,1063817922
La Grange,Control,3,1,2,1,3,1,1061017940
La Grange,Control,3,1,1,1,3,1,1044217953
La Grange,Control,2,1,18,1,2.166667,0.6666667,1044017922
La Grange,Treatment,2,1,14,1,0.6666667,0.3333333,1044617921
La Grange,Treatment,0,0,7,1,0,0,1064617930
La Grange,Control,2,1,7,2,1,0.4,1044217940
La Grange,Treatment,2,1,1,1,2,1,1020817950
La Grange,Control,0,0,7,3,2,0.6666667,1042017954
La Grange,Control,1,1,1,1,1,1,1021817952
La Grange,Control,0,0,4,2,1,0.5,1044217929
La Grange,Control,0,0,15,2,0.2,0.1,1021417947
La Grange,Control,3,1,7,2,1.4,0.6,1042817950
La Grange,Control,0,0,7,6,1.142857,0.4285714,1044017947
La Grange,Control,3,1,1,1,3,1,1021617934
La Grange,Control,2,1,1,1,2,1,1020417957
La Grange,Control,0,0,15,9,0.2,0.1,1021417947
La Grange,Control,4,1,1,1,4,1,1020617933
La Grange,Control,0,0,7,7,1.428571,0.5714286,1042017947
La Grange,Treatment,0,0,14,5,0.5714286,0.5714286,1041017948
La Grange,Control,1,1,14,7,0.8571429,0.4285714,1042017933
La Grange,Control,1,1,3,1,1,1,1021817939
La Grange,Control,1,1,1,1,1,1,1021617954
La Grange,Treatment,3,1,23,6,1.857143,0.7142857,1042217915
La Grange,Treatment,2,1,1,1,2,1,1022217948
La Grange,Treatment,0,0,7,3,0.1428571,0.1428571,1040817946
La Grange,Control,4,1,14,1,3,1,1063017919
La Grange,Treatment,0,0,4,2,1.666667,0.6666667,1020817930
La Grange,Control,3,1,7,3,3.2,1,1042617929
La Grange,Treatment,3,1,1,1,3,1,1021017945
La Grange,Control,2,1,3,3,2,1,1021417931
La Grange,Control,3,1,14,3,0.8571429,0.4285714,1042017933
La Grange,Control,0,0,7,3,0.25,0.25,1044017940
La Grange,Treatment,0,0,3,3,0.3333333,0.3333333,1041617952
La Grange,Control,2,1,1,1,2,1,1021817951
La Grange,Treatment,0,0,14,1,0,0,1061417929
La Grange,Treatment,1,1,1,1,1,1,1041417957
La Grange,Control,0,0,15,6,0.2,0.1,1021417947
La Grange,Control,2,1,48,4,1.52381,0.6190476,1041817907
La Grange,Control,2,1,3,1,2,1,1042617939
La Grange,Treatment,2,1,1,1,2,1,1043617957
La Grange,Treatment,0,0,23,7,1.857143,0.7142857,1042217915
La Grange,Control,0,0,2,2,0.5,0.5,1020617953
La Grange,Treatment,2,1,1,1,2,1,1020817954
La Grange,Treatment,0,0,2,1,0,0,1043617948
La Grange,Treatment,0,0,7,5,0.1428571,0.1428571,1040817946
La Grange,Treatment,2,1,2,1,2,1,1041417948
La Grange,Control,2,1,1,1,2,1,1043417948
La Grange,Treatment,5,1,1,1,5,1,1061217940
La Grange,Treatment,0,0,13,6,0,0,1044617942
La Grange,Control,0,0,7,1,0.25,0.25,1044017940
La Grange,Control,5,1,7,5,3.2,1,1042617929
La Grange,Treatment,0,0,13,8,0,0,1044617942
La Grange,Treatment,0,0,7,2,0.1428571,0.1428571,1040817946
La Grange,Treatment,1,1,14,6,0.5714286,0.5714286,1041017948
La Grange,Control,0,0,15,1,0.2,0.1,1021417947
La Grange,Control,0,0,1,1,0,0,1020417950
La Grange,Control,3,1,1,1,3,1,1040417943
La Grange,Treatment,1,1,7,5,0.8333333,0.6666667,1043217943
La Grange,Control,4,1,2,2,4,1,1021617932
La Grange,Control,2,1,48,5,1.52381,0.6190476,1041817907
La Grange,Treatment,0,0,10,1,1,0.3333333,1041617930
La Grange,Treatment,1,1,14,7,0.5714286,0.5714286,1041017948
La Grange,Treatment,0,0,10,3,1.5,0.5,1022217923
La Grange,Treatment,0,0,2,1,0,0,1041617941
La Grange,Control,2,1,2,1,2,1,1021617944
La Grange,Treatment,2,1,23,1,1.857143,0.7142857,1042217915
La Grange,Control,2,1,7,2,3.2,1,1042617929
La Grange,Control,1,1,48,3,1.52381,0.6190476,1041817907
La Grange,Treatment,0,0,14,4,0.5714286,0.5714286,1041017948
La Grange,Treatment,0,0,1,1,0,0,1041417954
La Grange,Control,4,1,15,2,1.5,0.5,1042017918
La Grange,Treatment,0,0,14,2,0.6666667,0.3333333,1044617921
La Grange,Control,1,1,2,1,0.5,0.5,1021617946
La Grange,Control,0,0,3,1,0,0,1040417926
La Grange,Control,2,1,28,2,3,1,1063617912
La Grange,Treatment,0,0,35,1,2,0.5,1043617924
La Grange,Control,0,0,9,6,0,0,1040617930
La Grange,Control,0,0,15,3,0.2,0.1,1021417947
La Grange,Control,2,1,1,1,2,1,1020617932
La Grange,Treatment,3,1,6,1,0.6,0.2,1020217951
La Grange,Treatment,0,0,15,1,0,0,1041017947
La Grange,Treatment,0,0,7,7,0.1428571,0.1428571,1040817946
La Grange,Control,0,0,7,4,1.428571,0.5714286,1042017947
La Grange,Control,2,1,2,1,2,1,1043017927
La Grange,Control,0,0,1,1,0,0,1061617947
La Grange,Treatment,1,1,1,1,1,1,1020817957
La Grange,Control,,,2,1,4,1,1021617932
La Grange,Treatment,0,0,1,1,0,0,1041417956
La Grange,Control,0,0,4,2,0,0,1044217954
La Grange,Control,1,1,2,1,1,1,1043017931
La Grange,Control,0,0,1,1,0,0,1041217954
La Grange,Treatment,3,1,1,1,3,1,1042217952
La Grange,Treatment,2,1,2,2,1,0.5,1040817931
La Grange,Control,0,0,2,2,1,0.5,1042417948
La Grange,Treatment,1,1,2,1,1.5,1,1021217953
La Grange,Treatment,2,1,7,2,0.8333333,0.6666667,1043217943
La Grange,Treatment,0,0,13,4,0,0,1044617942
La Grange,Treatment,3,1,14,2,1.625,0.625,1041017934
La Grange,Treatment,5,1,10,6,1,0.3333333,1041617930
La Grange,Control,0,0,3,1,0,0,1042817957
La Grange,Treatment,5,1,1,1,5,1,1020817937
La Grange,Control,4,1,1,1,4,1,1040417933
La Grange,Control,2,1,1,1,2,1,1021617948
La Grange,Control,2,1,4,1,1,0.5,1044217929
La Grange,Treatment,2,1,14,4,0.6666667,0.3333333,1044617921
La Grange,Control,2,1,1,1,2,1,1020617956
La Grange,Control,0,0,1,1,0,0,1042617956
La Grange,Treatment,1,1,1,1,1,1,1041617945
La Grange,Treatment,2,1,2,1,2.5,1,1041617948
La Grange,Control,0,0,1,1,0,0,1040417949
La Grange,Control,2,1,1,1,2,1,1020417948
La Grange,Treatment,2,1,10,1,1.5,0.5,1022217923
La Grange,Control,0,0,7,1,1,0.4,1044217940
La Grange,Treatment,2,1,23,3,1.857143,0.7142857,1042217915
La Grange,Control,2,1,2,1,1,0.5,1042417948
La Grange,Control,0,0,2,2,0,0,1044217950
La Grange,Treatment,0,0,2,1,0,0,1043217941
